sample	condition
Ses-ab1_L7	Ab
Ses-ab2_L7	Ab
Ses-ab3_L7	Ab
Ses-d1_L6	D
Ses-d2_L6	D
Ses-d3_L6	D
Ses-m1_L6	M
Ses-m2_L6	D
Ses-m3_L6	D
Ses-o1_L7	O
Ses-o2_L7	O
Ses-o3_L7	O
Ses-p1_L6	P
Ses-p2_L6	P
Ses-p3_L6	P
